"R0000100","R7006500","R7703700","R8496100","T0987800","T2210000","T3107800"
159,165500,-5,-5,-5,-5,-5
160,89200,59160,102700,114460,116460,116800
161,102868,96400,103000,90500,105000,139500
162,73000,83050,77000,83500,-5,-5
163,-5,-5,-5,-5,-5,-5
164,41000,-5,-5,-5,-5,-5
165,86100,17200,85300,100200,109000,122000
166,115200,119200,148500,165100,191200,-5
167,36728,-1,-5,-5,-5,-5
168,-5,-5,-5,-5,-5,968
169,-5,-5,-5,-5,-5,8580
170,10000,-5,-5,-5,-5,-5
171,115000,136200,140500,149000,171000,183080
172,3907,9624,9624,0,10404,11220
173,-5,-5,-5,-5,-5,-5
174,100000,112000,122050,147827,-2,90000
175,-5,-5,-5,-5,-2,20000
176,-5,-5,-5,-5,-5,-5
177,-5,-5,-5,-5,-5,85440
178,-2,63900,67000,105000,112000,440692
179,105400,95000,-2,103000,109000,110000
180,89000,90000,179000,-5,-5,-5
181,-2,390662,75600,100000,66000,77000
182,-5,-5,-5,-5,-5,2696
183,105000,100000,110000,110000,30500,34000
184,78400,200000,95000,95000,96700,135666
185,-2,15000,-2,55500,59000,-2
186,178000,215000,-2,175000,56000,92000
187,-5,-5,-5,-5,-5,-5
188,67054,-2,47000,15000,-2,-2
189,56000,73000,90000,108000,130000,180000
190,60000,108000,109000,135000,101500,-2
191,175000,158300,165000,160500,199000,183000
192,-2,105000,136000,-2,454737,-2
193,79200,93900,108000,105050,116500,125345
194,-1,-1,-1,-5,-5,-5
195,140500,210000,165000,185000,201700,68280
196,94200,140300,140200,-5,-5,-5
197,42000,25272,31500,26500,33000,-5
198,120000,127400,130500,151000,183000,158000
199,50000,-2,-2,56600,55520,55204
200,74000,62300,73000,86140,92790,99600
201,-5,178000,-2,-2,201600,245000
202,18000,52000,33000,55000,57000,56520
203,-5,-5,-5,-5,-5,-5
204,47600,-5,-5,-5,-5,40000
205,-1,-1,-2,114030,110000,-1
206,-1,-5,-5,-5,-5,-5
207,55000,0,33000,32000,30000,36178
208,-5,-5,-5,-5,-5,-5
209,12000,-5,-5,-5,-5,-5
210,95000,103000,134400,124400,130400,149250
211,49000,90000,86000,90250,101000,102000
212,-2,-2,220000,143500,173968,159600
213,25476,-2,-1,-2,-2,-5
214,77000,78000,84000,96000,155000,178264
215,-5,-5,-5,-5,-5,-5
216,-5,-5,-5,-5,5900,2000
217,-5,-5,-5,-5,-5,-5
218,332808,390662,408473,479983,454737,440692
219,159000,146000,176313,160000,16747,213290
220,123000,145800,97300,105000,105000,110200
221,13940,14135,25854,7200,28000,10100
222,0,0,0,6600,7200,6000
223,-2,83600,71000,48000,74000,96680
224,12000,10000,11440,11000,11057,11000
225,-5,-5,-5,-5,-5,-5
226,-5,-5,-5,-5,-5,-5
227,-2,2588,25600,600,10300,30405
228,4500,2472,12208,11440,5968,10400
229,11000,33820,2700,14968,21448,41120
230,45000,60000,50500,58000,71500,78200
231,80976,55700,63476,108900,115000,128484
232,29575,37000,37000,46100,45050,50720
233,33000,43000,48000,39000,37000,67000
234,160000,43000,-5,142900,140000,-2
235,75500,90500,91000,113000,135000,107000
236,76500,86000,96000,85440,101840,116000
237,38400,15120,8880,9360,10440,11160
238,-5,-5,-5,-5,-5,-5
239,18344,21843,-2,111000,23900,32400
240,66000,78000,93000,77100,56200,440692
241,-5,-5,-5,-5,-5,-5
242,-2,102900,6122,121000,104000,155000
243,38000,39000,66000,94600,102000,108000
244,-2,82700,69100,-2,-2,62700
245,23140,56030,120040,75050,68400,61050
246,-5,-5,-5,-5,-5,-5
247,79800,111000,132500,132000,156000,179000
248,9000,14542,6000,8000,16000,19300
249,57400,62600,60800,479983,69500,70800
250,39000,42000,47000,49000,50140,120000
251,52300,36000,50000,70900,71025,74036
252,45800,50200,51280,52000,54250,59000
253,20100,-2,58000,20000,37000,39000
254,57050,29050,28361,33700,40500,40000
255,90400,80000,110000,93000,113000,106387
256,22500,38992,59096,43000,59796,-2
257,29400,31800,13000,22600,10000,8900
258,18320,13025,49741,101425,59792,49510
259,31900,51500,8000,14000,22988,28000
260,78000,79000,90500,97000,96000,98250
261,-1,-1,-2,-1,-1,-1
262,-5,-5,-5,-5,-5,-5
263,-5,-5,-5,-5,-5,-5
264,-5,-5,-5,-5,-5,-5
265,105200,124500,126000,128000,-5,155000
266,-5,-5,-5,-5,-5,-5
267,-5,-5,-5,-5,-5,-2
268,-5,2370,19320,17760,11052,22092
269,332808,390662,408473,200200,205000,440692
270,-5,-5,-5,-5,-5,-5
271,-5,-5,-5,-5,-5,-5
272,332808,390662,408473,250000,90010,220000
273,88000,-2,65904,81500,-2,78248
274,67664,35140,111300,118000,122300,94000
275,101600,115144,141600,184774,-1,-1
276,79240,-2,-5,-5,-5,-5
277,20000,22050,-5,26000,27000,28000
278,10800,52400,-2,42000,-5,-2
279,93100,78500,53500,66000,65200,74000
280,-5,-5,-5,-5,-5,-5
281,86250,93000,93500,134700,153800,175500
282,70000,93000,105500,79000,-2,44000
283,-2,55340,52005,88010,82000,138200
284,78000,95500,92420,90200,105200,94000
285,63000,68300,69500,85000,120000,108000
286,61000,62600,75700,68000,111400,98300
287,46000,55000,38000,56000,61000,47480
288,17654,20960,11336,19300,26400,26908
289,13868,-2,20000,18000,20000,2695
290,35900,35250,40000,49000,23220,45000
291,1202,8000,10000,-2,10000,7890
292,-2,91100,111000,52400,58460,179300
293,110060,127000,122500,145000,153600,160050
294,-5,-5,88500,82000,80000,99580
295,-5,-5,-5,-5,-5,-5
296,-2,-2,-2,-2,-2,66560
297,25000,-1,15000,22400,18867,50019
298,65080,-5,-5,-5,-5,-5
299,-2,-5,22000,25000,0,0
300,-2,-5,-5,450,-5,-5
301,62000,57768,35500,35500,38000,73000
302,15000,33000,26564,20340,-2,27200
303,35000,15000,35000,-1,-2,-2
304,10500,-2,0,0,20322,18000
305,36500,36000,47610,38000,35000,14000
306,29500,40000,-5,40000,40000,76000
307,55000,57000,57000,56520,63400,66616
308,37200,-2,32000,47000,25000,20000
309,70000,81892,78892,-5,-5,-5
310,20000,80000,125200,74800,205224,54960
311,43000,50000,29000,50000,50000,50000
312,-2,39680,31200,65500,-2,-2
313,33000,-5,45000,37000,41000,62972
314,-5,-5,-5,-1,-5,-5
315,-2,7584,0,7848,3996,-5
316,-2,-2,-2,31000,-2,-2
317,44500,29900,92600,60000,53300,56300
318,26000,5076,-5,-5,-5,-5
319,80000,125000,-2,120000,118000,161000
320,100000,-2,102150,190000,172000,180000
321,-2,-2,144000,139000,-5,-5
322,98000,135000,130500,-5,-5,171000
323,139000,-5,-5,140000,185000,208000
324,2952,4140,15000,23000,39240,48358
325,-5,-5,-5,-5,-5,-5
326,-5,-5,-5,-5,-5,-5
327,80000,35700,33400,28000,-5,-5
328,-5,-5,-5,-5,-5,-5
329,-5,-5,-5,-5,-5,-5
330,-5,-5,-5,-5,-5,-5
331,6000,8308,14104,7104,6890,-5
332,20000,24000,26000,3006,1260,22191
333,120000,140000,139000,170000,176500,192000
334,-5,-5,-5,-5,-5,-5
335,28160,25000,14500,18079,32500,38700
336,-2,22000,-5,-5,0,14000
337,24000,18000,18800,10000,2200,8000
338,47000,72000,72000,479983,0,300
339,4840,3200,1500,10500,3000,39000
340,34000,18300,-5,45000,18050,17000
341,-5,-5,-5,-2,234000,-5
342,83000,100000,118000,141300,137000,-1
343,21000,25000,30000,25000,-5,27000
344,90000,90000,-2,112000,119000,128100
345,-5,-5,-5,-5,-5,-5
346,65000,88000,117000,120000,153500,180000
347,51500,92000,108000,-5,-5,-5
348,-2,390662,408473,479983,454737,248000
349,153000,390662,-1,-5,-5,-5
350,98200,90000,134100,168050,118150,94000
351,60000,390662,0,39000,50036,31416
352,71800,79224,87464,58800,83200,84500
353,10000,147600,-5,-5,-5,-5
354,65000,72300,83338,95867,101320,105816
355,-2,132500,171700,140000,163050,196000
356,53000,-2,98000,110005,110000,-2
357,70000,70000,70000,90000,105000,115000
358,69000,-2,108500,121000,142000,152000
359,58000,65550,68000,60000,75000,-5
360,140000,186500,168000,219000,138000,135000
361,-2,-5,-5,-5,-5,-5
362,-2,52000,60500,64200,61721,62750
363,9500,-2,14376,40512,3840,3900
364,90700,141000,130000,160050,-1,117000
365,-2,-2,-2,126000,116000,440692
366,-5,-5,-5,-5,-5,-5
367,45000,51000,56000,58000,58000,63828
368,23000,29000,34728,-5,51380,54472
369,70200,90100,67050,158500,96000,440692
370,105000,120368,20000,127010,70020,100000
371,-5,-5,-5,-5,-5,-5
372,-1,-1,-1,-1,-1,-1
373,68000,83494,38000,69000,63000,-2
374,-2,189000,209240,-5,-5,-5
375,35000,20000,29868,17500,20000,13050
376,60000,40000,57000,60800,56000,73000
377,-2,-2,-2,10000,0,0
378,-2,4000,-2,0,0,7000
379,-5,-2,-2,-2,-2,2000
380,-2,21000,24600,26000,21000,32400
381,-2,90000,110600,105300,92040,105050
382,-5,24600,32400,-1,27000,-1
383,-5,-5,-5,-5,-5,-5
384,-5,-5,-5,-5,-5,-5
385,37000,53918,-2,71500,58000,80960
386,89500,88200,-1,-1,102000,-1
387,-2,30000,-1,150,0,18753
388,80000,60000,65000,70000,70000,-2
389,-5,-5,-5,-5,-5,-5
390,2802,-1,-5,-5,-5,-5
391,27169,-5,-2,-2,-2,35000
392,58860,70500,-2,92000,79000,88000
393,87200,65000,97000,68060,-2,-2
394,-5,-5,0,0,0,0
395,0,3200,9144,10264,8732,20680
396,17000,16000,20000,8000,0,7179
397,6420,0,13524,8340,11148,0
398,12020,12828,13152,-5,-1,29400
399,44000,49000,58100,62500,68000,70000
400,71600,84000,84200,109250,77500,64500
401,27900,44000,66000,93500,59000,49000
402,23800,25200,216000,29100,-2,23000
403,-2,24000,-2,20540,28920,52028
404,-5,-5,-5,-5,-5,-5
405,38000,52000,55000,60000,60000,70400
406,30000,35000,58870,56000,49563,39291
407,87000,135000,131160,157000,181000,178100
408,60200,73100,73500,81000,81626,83289
409,123500,148600,408473,479983,260000,262780
410,57500,70000,90000,50966,56000,59708
411,8000,22000,37000,22160,8160,0
412,27000,65000,69500,-1,-1,90000
413,-5,-5,-5,-5,-5,-5
414,-2,67000,70000,73000,-2,82000
415,-2,80000,88000,114000,95000,91200
416,150000,-1,-1,200000,454737,250000
