"R0000100","R7006500","R7703700","R8496100","T0987800","T2210000","T3107800"
3233,-5,-5,-5,-5,-5,-5
3234,90200,70150,71500,90500,88600,99500
3235,27250,38495,33000,26050,40000,33096
3236,21000,28000,61600,3000,19000,16214
3237,35000,-5,43000,42000,42000,52000
3238,-2,12800,33000,29500,55200,36050
3239,28100,0,32000,30150,-2,-5
3240,111000,127100,210900,142300,220500,222700
3241,-5,-5,-5,-5,-5,-5
3242,61801,68009,64363,87592,102408,99850
3243,40500,110000,58000,158000,100000,214000
3244,50000,70000,90000,98000,89000,100000
3245,79000,72030,77000,100000,95000,95000
3246,50500,65000,68600,78400,84030,77900
3247,332808,152000,408473,479983,232000,440692
3248,73119,70050,79003,83875,67217,71405
3249,26600,35750,37000,37000,50000,62000
3250,69000,43025,32100,45945,-2,106335
3251,49000,70000,63000,63000,74000,76000
3252,-2,37000,24000,29000,20000,20000
3253,15000,12750,-2,10504,-2,8094
3254,50000,54000,60000,66240,81000,62300
3255,42200,48000,8000,20000,40000,20550
3256,175000,390662,212000,205000,230000,220000
3257,35000,57540,66000,75000,-2,126180
3258,80000,94000,73440,55000,65000,68000
3259,0,0,0,0,0,0
3260,-5,-5,-5,-5,-5,-5
3261,24000,24000,16194,2664,-2,18000
3262,-5,-5,-5,-5,-5,-5
3263,123000,132200,93000,95100,101080,105150
3264,-2,87000,56000,27364,-2,33400
3265,75500,49000,-5,70000,-5,-5
3266,29750,35000,32000,250,500,0
3267,-5,-5,11600,59000,-2,-2
3268,17092,-2,6788,-5,3000,9226
3269,25000,32800,26953,35501,36000,21810
3270,-5,-5,-5,-5,-5,-5
3271,-2,50000,-2,11750,-5,35000
3272,49180,-5,-5,-5,-5,-5
3273,-5,0,-2,24000,25000,35000
3274,18800,37400,-5,-5,-5,-5
3275,-1,-1,-1,-2,-2,-2
3276,-1,9600,10836,101100,-2,112792
3277,-2,-1,-2,81500,-2,-1
3278,332808,222400,408473,98598,239200,204600
3279,-1,-1,-1,93305,-1,-1
3280,150000,-2,85000,-2,150000,-1
3281,-2,35000,26000,37040,-1,46600
3282,-2,90000,147188,137000,-5,-2
3283,-5,-5,-5,-5,-5,-5
3284,95500,110000,145030,146000,172000,162054
3285,95000,-2,122200,51000,-2,-2
3286,140000,169000,180000,230000,-5,-5
3287,96800,99000,62339,48929,-2,92000
3288,-5,-5,-5,-5,-5,-5
3289,130000,137000,181000,190000,-1,145800
3290,103000,135000,159000,159000,218000,150203
3291,78000,65200,-2,90300,115300,-5
3292,-5,-5,-5,-5,-5,-5
3293,-2,-1,-1,-5,-5,-5
3294,65000,98800,-2,202000,73000,108333
3295,-5,-5,-5,-5,-5,-5
3296,-5,-5,-5,-5,-5,-5
3297,16000,-5,-2,0,-1,20000
3298,-5,-5,-5,-5,-5,-5
3299,66000,97000,-2,-5,90340,-5
3300,26000,3000,0,-5,0,-5
3301,-5,-5,-5,-5,10000,-5
3302,33000,-5,12582,-2,4000,-1
3303,90000,98000,78500,95000,128000,124100
3304,49700,74400,130600,88700,81000,88200
3305,101000,123000,137000,156000,150000,-2
3306,20400,8400,-2,-2,9600,11040
3307,-2,-2,-2,26100,30000,14000
3308,-2,-2,-2,-2,-2,-2
3309,48200,48000,50000,54000,-1,-2
3310,11200,29000,49000,55000,62000,67000
3311,-2,0,0,25000,35000,32000
3312,22000,22000,25000,31500,-2,40000
3313,0,-2,0,32680,0,-2
3314,-5,-5,-5,-5,-5,-5
3315,30384,13328,17500,15013,15072,48200
3316,17000,-2,10698,32368,-2,23820
3317,-2,25070,9618,21708,13202,15288
3318,-5,-5,-5,-5,-5,-5
3319,-2,-2,-1,7500,15000,-1
3320,-5,-5,-5,-5,-5,-5
3321,29000,-2,31600,21000,19000,21456
3322,-2,54000,23600,-1,-1,-2
3323,-5,-5,-5,-5,-5,-5
3324,95000,93000,-2,123000,105460,89585
3325,3524,900,300,300,1920,2400
3326,0,-5,-5,-5,-5,-5
3327,-5,-5,-5,-5,-5,32000
3328,-5,-5,-5,-5,-5,-5
3329,-5,-2,-5,45000,-5,0
3330,110000,123000,114342,145000,108548,80671
3331,30000,-5,70000,50000,44600,43400
3332,-2,12680,-2,-1,7788,20472
3333,51600,113126,101150,104400,104760,78114
3334,2600,-5,-5,-5,-5,-2
3335,-5,-5,-5,-5,-5,-5
3336,-5,-5,-5,-5,-5,-5
3337,111035,121780,126000,141000,143800,162017
3338,36836,13050,-2,31000,32122,37478
3339,-2,-5,-5,-5,-5,-5
3340,-5,-5,-5,-5,-5,-5
3341,61000,-2,77000,69000,89600,90000
3342,42000,38300,35000,40000,39000,43000
3343,49908,55645,14000,19968,23799,21161
3344,-5,-5,-5,-5,-5,-5
3345,-5,-5,-5,-1,-1,-1
3346,37000,-2,-1,78000,-2,73000
3347,72000,61600,62000,40000,50000,45000
3348,70000,55000,75000,95000,-5,-5
3349,-5,-5,-5,-5,-5,-5
3350,31200,42950,54671,58228,50500,52628
3351,332808,75000,60000,60000,-2,75000
3352,87000,100200,121000,110200,136000,178900
3353,43000,39000,39000,44000,47000,46000
3354,7344,15436,8040,126400,111636,65976
3355,-5,43000,55000,59600,60800,56000
3356,11000,4200,-2,3015,1872,8688
3357,332808,390662,210000,266700,454737,440692
3358,-5,16476,10500,10560,12000,-5
3359,73500,87000,77880,60000,25000,22000
3360,25200,12000,75500,37000,55200,55164
3361,103000,134000,200000,479983,200000,440692
3362,15000,-5,8067,6438,9216,18888
3363,-1,-1,65000,167774,-2,-2
3364,69100,63440,49200,58580,53204,-5
3365,-1,-2,-1,-1,-2,-1
3366,-5,-5,-5,-5,-5,-5
3367,60100,90000,52300,61500,74000,74000
3368,80000,81625,94000,97900,99000,95000
3369,180200,390662,408473,255000,454737,440692
3370,87000,88000,119200,136138,153000,142982
3371,13800,5964,6525,9212,12864,18484
3372,-2,-2,-1,-1,-1,-1
3373,-5,-5,-5,-5,-5,-5
3374,-2,40160,80056,68500,110400,91000
3375,-5,-5,90200,110000,110590,107899
3376,-5,-5,75000,108000,153000,137915
3377,-5,-5,-5,-5,-5,-5
3378,78000,93100,101100,98802,108150,104118
3379,128000,390662,121000,135000,158000,156000
3380,332808,176000,143000,150900,165000,89000
3381,150500,130500,150000,125000,125020,100000
3382,-5,-5,-5,-5,-5,-5
3383,-5,-5,-5,-5,-5,-5
3384,-5,-5,-5,-5,-5,-5
3385,-1,-1,-1,-1,-1,-1
3386,-5,-5,-5,-5,-5,-5
3387,45010,39840,51550,48050,62213,62035
3388,-5,-5,-5,-5,-5,-5
3389,80000,43000,62000,72000,-5,56400
3390,60000,76000,73700,80300,79000,69548
3391,74000,97200,98131,60157,65058,81001
3392,32000,45000,-2,51000,45000,-2
3393,69000,63000,85000,65000,85000,89000
3394,158000,174000,165000,181000,207000,124555
3395,-5,-5,-5,-5,-5,-5
3396,-5,-5,-5,-5,-5,-5
3397,-2,103000,108000,123000,138000,139000
3398,-5,-5,-5,-5,-5,-5
3399,60100,83000,96000,144000,113420,14674
3400,101272,76228,75000,7500,107000,110450
3401,49200,66000,75000,72000,78000,53000
3402,99050,78000,65000,100000,110050,109000
3403,-5,-5,-5,-2,-2,150000
3404,-5,-5,-5,-5,-5,-5
3405,69025,84050,35000,78500,84500,41860
3406,40000,31000,33800,38500,38100,191100
3407,79000,84000,90000,108000,-1,83000
3408,-5,-5,-5,-5,-5,-5
3409,-5,-5,-5,-5,-5,-5
3410,87000,106000,118000,103000,144200,128200
3411,100000,-5,-5,-5,-5,-5
3412,47200,-1,2562,2000,17000,14000
3413,142500,98000,106619,110500,120200,142000
3414,100000,114000,-5,-5,-5,-5
3415,-5,-5,-5,-5,-5,-5
3416,114000,111000,110000,101000,184680,116150
3417,35000,0,0,8000,260,4500
3418,22400,75500,60000,72000,71000,72600
3419,145000,-5,-5,-5,-5,114000
3420,56000,60212,70000,72000,72000,70000
3421,53100,125094,108400,105100,107600,96000
3422,4500,83900,93315,92200,98500,123000
3423,104900,100300,112050,42000,40000,46000
3424,31720,37200,38560,91250,108550,86200
3425,30500,88400,-5,77300,88000,-5
3426,200,390662,408473,258550,454737,155500
3427,-5,-5,-5,-5,-5,-5
3428,-2,390662,408473,479983,173000,179970
3429,89000,-2,184000,200700,231200,256200
3430,45100,74000,65000,66000,80050,80000
3431,115000,105050,109000,210100,210200,80100
3432,79015,93005,78828,100083,113000,102000
3433,125000,390662,-2,-2,-2,-2
3434,160150,170000,-2,479983,267000,263000
3435,-5,-5,14000,18000,20000,22000
3436,-2,23340,-2,26000,-2,3000
3437,-5,-5,-5,-5,-5,-5
3438,47000,22000,-2,48188,47000,-2
3439,-5,-5,-5,-5,-5,-5
3440,47000,-2,-2,65800,93000,114000
3441,27000,31000,35000,36000,34400,0
3442,56000,72300,-5,-5,-5,-5
3443,-5,-5,-5,-5,-5,-5
3444,13000,12850,32164,19200,23587,-2
3445,-2,92500,-2,113854,-2,-2
3446,24200,43104,-5,-5,-5,-5
3447,65200,30600,216800,18000,42180,-5
3448,-2,-5,-5,-5,-5,-5
3449,-5,-5,-5,110000,-2,0
3450,-1,185000,145000,-5,-5,-5
3451,-5,-5,-5,55600,51000,59200
3452,10200,48000,45976,68000,47015,24000
3453,50000,83500,78500,93250,70000,57000
3454,-5,55000,134000,35000,160000,180000
3455,63400,30540,56700,61600,66000,-5
3456,-2,-5,107000,75000,105000,110000
3457,23000,26400,26000,26000,26000,26000
3458,71000,52952,66967,66000,60000,41700
3459,-2,300,33200,76050,-2,95340
3460,36750,-2,56000,34200,0,-2
3461,50000,56000,65000,-5,66200,78000
3462,-2,-5,-5,-5,-5,-5
3463,51000,71000,45000,57000,60300,70200
3464,36050,68000,84100,156000,160000,157000
3465,12100,77300,81000,107000,51700,48000
3466,78037,77200,93091,100000,144000,127000
3467,85402,79000,100125,109532,115400,-2
3468,39700,46400,43300,73200,84200,87300
3469,65700,79300,80800,85100,88500,97073
3470,-2,108000,110000,-5,-5,-5
3471,332808,60000,56420,80000,-2,23000
3472,130000,135000,172000,-5,-5,-5
3473,110000,140000,138000,159000,160000,177022
3474,112000,127700,-5,-5,-5,-5
3475,72700,97000,86000,95000,97000,88960
3476,70000,78000,86500,100000,110000,115000
3477,19560,-5,19400,18520,16567,19396
3478,-5,-5,-5,-5,-5,-5
3479,101000,89000,112000,80450,91200,-2
3480,-5,-5,-5,-5,-5,-5
3481,77000,87000,82660,86000,82418,83000
3482,66000,80400,77000,97050,98000,67130
3483,100000,42500,144500,66000,62000,126500
3484,-2,-2,-5,-5,-5,-5
3485,-5,-5,-2,0,108320,-5
3486,-5,-5,66000,-5,85000,-2
3487,-2,-5,91400,115900,113179,-5
3488,81000,-5,-5,-5,-2,-5
3489,-5,-1,-5,-5,-5,0
3490,-5,-5,-5,-5,-5,-5
3491,52600,63020,-2,81000,-5,92046
3492,50900,40000,-2,47000,50400,50000
3493,58000,84000,56200,60000,70000,130000
3494,126000,125000,149000,142000,200000,-2
3495,66000,70000,82000,100000,102000,-2
3496,110000,112000,128000,139000,152000,159400
3497,90000,97000,112000,122000,141000,167000
3498,-2,-5,-5,-5,-5,-5
3499,105000,160000,110000,-5,150000,200000
3500,-5,-5,-5,-5,-5,-5
3501,-5,-5,-5,-5,-5,-5
3502,95800,105000,104335,126000,139487,150468
3503,55880,68100,90000,88200,-5,-5
3504,-5,-5,-5,-5,-5,-5
3505,-2,123711,-2,123000,181300,124200
3506,74300,8000,82500,104000,108000,109300
3507,55100,-5,-5,-5,-5,-5
3508,-5,140000,75302,58000,56000,91645
3509,67000,83260,50000,120000,100000,70000
3510,-5,-5,-5,-5,-5,-5
3511,64100,61100,50000,56000,98000,39405
3512,71100,83070,94000,48200,50300,52020
3513,-1,28000,26000,27000,30000,34162
3514,35000,-5,-5,59600,82000,29132
3515,90100,113000,112000,129600,137900,145600
3516,30000,40000,49000,35000,25000,66000
3517,0,-1,-5,-5,-5,-5
3518,-5,36200,28000,-5,44472,48700
3519,140000,-2,-5,-5,-2,69000
3520,69000,78000,-5,-5,-5,-5
3521,21200,42000,40000,44000,45000,16000
3522,165000,86300,65500,67050,120500,152500
3523,41000,52000,74015,66554,78000,72222
3524,-5,85600,85000,57000,72000,75000
3525,-5,-5,-5,-5,-5,-5
3526,-5,-5,-5,-5,-5,-5
3527,-2,109000,140100,92800,129000,134000
3528,-5,100000,-5,-5,-5,-5
3529,-5,-5,-5,-5,-5,-5
3530,54975,60035,-2,74750,89000,-2
3531,44000,42900,68500,127000,100864,-2
3532,62500,64000,68690,78000,85361,93420
3533,102000,111500,155000,166000,179500,151000
3534,-2,-1,-5,-5,-1,-1
3535,-2,-2,-2,238476,-5,161777
3536,-2,80000,-1,95280,-5,-5
3537,20000,94000,79000,79000,120350,97074
3538,30570,35800,36565,33925,32545,35600
3539,-2,19000,3600,0,14640,19838
3540,21000,25532,33000,37000,32000,28000
3541,-2,84000,-5,-5,-5,50000
3542,-5,-5,-5,-5,-5,-5
3543,0,13256,17429,21000,20164,28000
3544,14000,39600,26200,18028,7000,2576
3545,94400,47000,46720,31000,31000,51000
3546,70451,96934,84626,99000,94000,100000
3547,-2,38830,75000,-1,140244,-2
3548,-2,-2,43600,44800,-2,-2
3549,22000,43000,25020,23500,-2,36400
3550,56025,54100,66000,48294,60000,85020
3551,93500,98000,107000,109500,164500,131000
3552,65200,76500,87100,78000,80000,86718
3553,-2,55000,70000,55400,56000,55000
3554,95965,141500,57700,61827,75792,-2
3555,-2,88350,-2,92550,60082,66600
3556,68000,40000,38000,57000,57000,60000
3557,42000,42946,61000,56000,71000,67000
3558,-2,100300,130300,141090,175300,117000
3559,42200,50200,56416,66876,70000,34348
3560,63220,55100,60000,57100,80000,0
3561,41150,35200,35000,42010,43301,84190
3562,15833,15400,12508,7400,14785,-2
3563,61000,43011,36580,56000,76000,55624
3564,40000,35383,42000,45200,84672,-2
3565,33510,36500,42100,39000,-5,-5
3566,-5,-5,-5,85050,70400,65000
3567,-2,-2,25156,18120,13202,18005
3568,-5,-5,-5,-5,-5,75000
3569,-2,68000,54000,59245,195527,69672
3570,47015,51000,56000,62480,75600,78000
3571,-2,57183,57000,56000,64000,62000
3572,51100,67000,62020,54000,50000,-5
3573,69800,10150,20040,33535,54540,68035
3574,71700,67150,69000,72080,74250,82000
3575,50800,40600,48000,59000,67000,73000
3576,-2,-2,64974,49400,78452,33605
3577,-5,-5,-5,-5,-5,-5
3578,-5,-5,-5,-5,-5,59500
3579,-5,-5,-5,60300,-2,51036
3580,48400,47000,59000,71000,66000,74900
3581,118000,110500,139000,154150,167000,173000
3582,166000,210000,194367,241000,237000,261328
3583,72400,94500,91050,106150,135500,117850
3584,-2,43500,41000,16000,22000,47800
3585,332808,390662,408473,479983,454737,-5
3586,21200,26010,27250,37233,42000,40000
3587,34360,63000,76000,108100,115500,135060
3588,42235,66010,63100,100200,-2,92000
3589,47600,65300,159000,70792,70575,74400
3590,-5,-5,-5,-5,46030,55050
3591,52825,54329,12343,4471,12600,-2
3592,30050,46000,54300,69200,79832,65061
3593,-2,54400,64200,65000,69000,-2
3594,-2,-2,-2,59500,84400,113274
3595,42788,39398,37830,479983,454737,-2
3596,103600,87000,90000,52000,174000,-5
3597,27050,68032,58000,48925,50000,52400
3598,45000,50200,63000,71300,68300,58158
3599,-5,-5,-5,-5,-5,-5
3600,72100,97075,85040,95660,104000,-5
3601,77050,90500,104000,95000,116845,111919
3602,81725,85100,95000,96000,109000,109000
3603,70100,48025,68000,75000,83100,111500
3604,50600,-2,70020,60000,54599,98000
3605,64000,64000,81000,48700,50500,53000
3606,50500,70500,60300,73000,40100,59280
3607,66020,25050,0,18992,22005,30000
3608,52500,58000,61000,69000,75000,70700
3609,48000,34700,40500,46150,51000,47150
3610,-1,17327,10888,7900,-2,0
3611,90000,-2,104000,116000,-2,127500
3612,38000,25000,8000,-1,5000,10000
3613,83000,82000,88000,94000,92000,95000
3614,78400,81700,80562,79350,109432,144200
3615,42050,61100,68000,-5,-5,-5
3616,60559,62120,72674,57263,64900,35050
3617,54000,64000,97400,99050,80000,108000
3618,80000,110000,85000,68100,55900,80000
3619,71250,73050,80200,76500,80200,-2
3620,58000,60000,70000,81000,128000,146336
3621,-2,-5,-5,-5,-2,-5
3622,-2,-5,-5,-5,-5,-5
3623,60000,114000,180000,180000,169000,210000
3624,63026,72000,73525,10535,-2,75585
3625,21700,48200,51000,58500,60500,-2
3626,40075,39600,45000,54500,60000,53000
3627,62000,66200,108300,110000,131300,139000
3628,-2,390662,-2,211200,180000,-2
3629,121200,125600,190000,200000,41464,27000
3630,61800,75300,52786,59500,69956,66863
3631,-5,-5,-5,-5,-5,-5
3632,12000,-2,10000,1600,-2,16000
3633,16000,18000,17000,25000,15000,10636
3634,-2,15000,19800,24000,27000,-2
3635,-2,98600,105808,127000,141200,126960
3636,85100,98000,107000,-5,-2,-1
3637,25000,126500,142000,87730,148700,48000
3638,-2,71839,77522,-5,-5,-5
3639,59500,61008,54200,218000,38500,42000
3640,18000,16000,19000,21000,31000,34000
3641,80932,81000,89000,94000,108000,114000
3642,-5,-5,-5,-5,-5,-5
3643,54000,80000,82654,79000,90500,102000
3644,-5,-5,-5,-5,-5,-5
3645,-5,-5,40300,-5,-5,-5
3646,-5,-5,-5,-5,-5,-5
3647,0,0,0,0,0,0
3648,10544,-2,16000,13000,-2,48935
3649,-2,69000,81000,80400,83000,86000
3650,82100,40000,86600,90638,79710,55208
3651,117400,111406,125000,135000,163000,160000
3652,-5,37000,40000,48000,53000,72880
3653,64000,45000,68000,24216,37360,18000
3654,60000,73000,57000,-1,35000,114120
3655,66500,77000,84000,80000,30000,68000
3656,-5,-5,-5,-5,-5,-5
3657,15000,70000,21663,59500,111605,45000
3658,-2,852,7560,-2,-2,9054
3659,-2,25000,25000,151,11040,10800
3660,20000,-5,17500,26020,27000,53000
3661,40500,44500,49800,58500,78200,66600
3662,21300,-2,12400,13336,15976,23360
3663,83300,100000,85300,77500,92000,-5
3664,79000,75000,165000,168000,-5,-5
3665,-5,-5,-5,-5,-5,-5
3666,97500,93000,60000,39500,55000,45000
3667,18590,16160,-5,13380,8180,9595
3668,98000,108000,62000,112000,135500,148000
3669,332808,390662,408473,479983,454737,-5
3670,-5,-5,-5,-5,-5,-5
3671,-5,-5,-5,-5,-5,-5
3672,150000,140000,123000,185000,-5,265000
3673,-5,-5,-5,-5,-5,-5
3674,-5,-1,103000,-5,-5,-5
3675,150000,-2,147000,93305,223000,140000
3676,60050,76150,124700,128040,136300,131100
3677,77000,95400,93000,126050,64000,82000
3678,-5,-5,-5,-5,-5,-5
3679,-2,86080,90000,120000,155021,142043
3680,62000,82500,27350,71000,56000,96000
3681,53500,145000,150000,182000,166000,158000
3682,-1,-5,-5,-5,-5,-5
3683,-5,-5,-5,-5,-5,-5
3684,-5,-5,-5,-5,-5,-5
3685,332808,390662,408473,20000,454737,440692
3686,102000,67750,38500,69000,100200,72000
3687,85000,147000,114000,145000,169000,165000
3688,-5,-5,-5,-5,-5,-5
3689,332808,390662,408473,479983,454737,440692
3690,80000,110000,110000,138000,160500,156100
3691,18144,0,31020,0,11688,11928
3692,4600,6648,14400,-5,24294,27000
3693,29000,42000,79500,75000,25000,25000
3694,59000,49900,56200,66350,90700,93300
3695,0,400,2000,-2,10000,-2
3696,-5,-5,-5,-5,-5,-5
3697,7300,8900,11000,5000,8200,12700
3698,17000,-5,-5,-5,-5,-5
3699,-2,43000,-2,41977,-2,49000
3700,-2,40000,-2,25000,36000,26000
3701,-5,-5,-5,-5,-5,-5
3702,58120,99000,105000,-5,97000,131000
3703,35000,2940,17508,8940,14820,440
3704,0,1800,0,0,3729,2400
3705,28100,91000,112000,123500,164000,172000
3706,-2,92000,96000,82000,100000,219137
3707,-2,168000,408473,18000,110000,124100
3708,-2,110000,122300,210000,165000,169000
3709,89000,82428,98014,107000,109330,90050
3710,75000,84100,91000,96000,110499,110000
3711,8210,-2,29155,-5,-5,-5
3712,53000,69588,-2,93000,100280,100000
3713,27500,24000,28600,36738,202000,35115
3714,25000,48000,20000,37000,43200,56673
3715,86299,-5,-5,-5,-5,-5
3716,-5,-5,88000,-1,55400,-2
3717,-5,-5,112580,-5,-5,146000
3718,-5,82059,65065,-1,-2,95000
3719,47000,40000,65000,79000,55000,-2
3720,-2,-5,-5,0,-5,-5
3721,-2,52000,52000,85000,-2,61200
3722,35000,52000,65740,55000,-2,-2
3723,-5,8170,10180,16000,9000,13200
3724,56192,70000,72779,23490,28000,0
3725,140000,32200,10400,28200,26000,19000
3726,74000,50092,72100,74030,89191,81464
3727,18472,-5,-5,-5,-5,-5
3728,9918,1975,10500,23916,27244,-5
3729,11604,8700,4440,-2,0,13656
3730,83000,102200,94900,44910,41300,40500
3731,-5,-5,-5,-5,-5,-5
3732,-5,90000,57000,36005,76000,91250
3733,-2,14000,438,27500,1268,0
3734,147000,137000,127040,210000,145000,160000
3735,87000,63740,58968,78750,-2,-2
3736,58150,56200,50100,52650,50100,56000
3737,77000,84000,76905,80000,98000,114000
3738,11000,14200,16268,18900,21495,32500
3739,89760,115000,114931,96075,123128,205500
3740,22019,-2,60000,50000,45000,33000
3741,-2,69940,-2,61300,57130,63544
3742,82000,77100,200000,196000,400,48000
3743,134000,150000,408473,-5,-5,-5
3744,43192,52400,70050,77020,69000,68010
3745,26000,29020,29640,32096,454737,39390
3746,100000,-2,180000,196690,84200,145000
3747,-5,-5,-5,-5,-5,-5
3748,-2,-2,27000,-5,-5,-5
3749,-2,-2,-2,0,0,-2
3750,-5,-2,-2,-5,-5,-5
3751,65068,66500,43000,45000,50020,52050
3752,86000,-1,96000,-5,-1,-1
3753,-2,-1,70000,61500,-2,147342
3754,24343,30000,44000,97150,104005,120661
3755,93900,100800,112800,104550,144060,166500
3756,36300,43900,-2,19538,14400,-5
3757,120270,130700,127000,162000,-2,190000
3758,-5,-5,-5,-1,22000,64000
3759,-5,-5,-5,-5,-2,116000
3760,-5,58500,23000,-2,38376,-2
3761,-5,-5,-5,-5,-5,-5
3762,44000,61200,-5,-5,-5,140200
3763,-5,-5,40000,16000,46505,22185
3764,40000,43000,42200,45000,45000,35350
3765,61000,66830,76200,85000,116000,106100
3766,90435,-2,65100,79075,67050,86920
3767,60000,34480,31500,28000,33000,34000
3768,7784,9792,7752,10692,8760,11664
3769,22400,24000,29271,0,4376,12903
3770,0,82022,83030,92000,101532,97024
3771,24400,48572,32004,43017,40018,40990
3772,53800,-5,-5,-5,-5,-5
3773,-5,-5,-5,-5,-5,-5
3774,12960,20448,-2,15000,26000,-2
3775,70800,47500,96320,105200,107000,75512
3776,43280,6000,176,10680,11856,11820
3777,55000,74000,77000,89000,94300,95050
3778,-5,-5,-5,-5,-5,-5
3779,145990,151000,156000,178500,204882,218490
3780,-2,51845,44000,55000,55000,57464
3781,-5,134000,146000,122780,87828,-1
3782,-5,-5,-5,-5,-5,-5
3783,-2,-2,-2,199000,192000,-2
3784,-2,33867,-2,-2,-2,85000
3785,-5,-5,-5,-5,-5,-5
3786,46000,-2,57400,65000,71500,95000
3787,29774,16400,21000,19800,25600,30000
3788,-5,-5,-5,-5,-5,-5
3789,-5,-5,-5,53400,-2,-2
3790,25914,-2,26718,26409,27227,58700
3791,28000,390662,119520,207000,218000,112000
3792,64000,75800,-1,96200,105500,128200
3793,82200,83000,64150,75000,80000,-1
3794,-2,142970,-2,170000,143000,170000
3795,101000,55000,85000,105000,110000,103000
3796,27800,31245,53215,58563,78955,60349
3797,-2,37560,42400,48500,51000,32330
3798,47000,117000,130000,145000,106000,104000
3799,46000,155000,408473,200000,244000,250000
3800,22000,-2,90948,89675,87000,40000
3801,-5,-5,-5,-5,-5,-5
3802,55000,27805,27100,34200,40000,44000
3803,71400,99000,94410,117000,128100,146050
3804,-2,70050,90100,91000,98200,100200
3805,78000,71000,95500,126000,68212,128050
3806,133000,8120,136000,236000,226000,212000
3807,80000,52000,53000,51000,64000,67100
3808,-5,-5,-5,-5,-5,-5
3809,60000,-2,163000,221000,212000,198000
3810,-5,-5,-5,-5,-5,-5
3811,332808,210000,408473,185000,230000,225580
3812,332808,90000,200000,100000,150000,100100
3813,15446,-2,33775,44750,44617,44862
3814,9000,24850,41900,45700,46000,34000
3815,130000,120100,137000,175000,200000,180000
3816,-2,195000,-2,479983,454737,440692
3817,70000,83800,89000,73753,107000,88100
3818,-5,-5,-5,-5,-5,-5
3819,34500,38796,23900,37000,-2,48000
3820,-5,-5,-5,-5,-5,-5
3821,-2,-2,0,1500,2000,7360
3822,-2,2000,-2,5000,0,-5
3823,7560,4800,-2,6788,4392,3000
3824,-1,-1,-5,44000,44000,165100
3825,6500,12000,15000,22000,23000,28000
3826,-5,-5,-5,-5,-5,-5
3827,47300,45000,25000,46000,55500,150000
3828,-2,-2,19868,0,-2,39720
3829,107500,122000,125400,152500,196000,226000
3830,35000,50000,51004,63000,80000,-5
3831,-5,-5,-5,-5,-5,-5
3832,39000,40000,44000,-5,-2,-5
3833,32000,-2,-2,40000,55000,61000
3834,-5,-5,-5,-5,-5,-5
3835,-5,-5,-5,-5,-5,-5
3836,138500,40400,-2,155225,101000,-2
3837,44362,59080,65106,35000,34500,66750
3838,60000,38000,90000,115000,150000,-5
3839,-1,52000,-1,73908,65524,73000
3840,-5,-5,-2,20000,25000,19200
3841,-5,-5,-5,-5,-5,-5
3842,45150,43000,29003,39500,43300,19000
3843,40000,50000,-5,-5,-5,-5
3844,50000,50000,57000,66000,103673,-2
3845,-2,-2,17000,24000,22000,-2
3846,52300,76800,-2,70000,66800,-2
3847,-2,73000,85000,87000,112070,97065
3848,40000,49000,10000,32000,-2,22920
3849,-5,70640,63300,-5,-5,47140
3850,30050,32000,32000,66075,74200,79100
3851,17580,1680,20238,16000,8000,15479
3852,-2,32000,50020,14000,12248,15000
3853,65500,65500,69200,80500,31200,23400
3854,104000,-5,125500,180000,454737,-2
3855,132500,222200,246300,266530,454737,440692
3856,-5,-5,-5,-5,-5,-5
3857,55563,61151,71000,99200,199000,-5
3858,-5,-5,-5,-5,-5,-5
3859,17000,-2,11220,12000,-5,13351
3860,68000,48000,52000,55000,57000,70000
3861,37500,56000,69400,80000,60170,37500
3862,-5,-5,-5,-5,-5,-5
3863,332808,-3,408473,479983,454737,440692
3864,-5,-5,-5,-5,-5,-5
3865,332808,390662,408473,479983,454737,440692
3866,22000,34600,48016,35000,21000,48000
3867,-2,1050,1750,1235,1300,50
3868,-5,-5,-5,43450,72000,0
3869,-5,-5,-5,-5,-5,-5
3870,35000,40000,-5,38200,50500,-5
3871,92400,166800,189996,250000,60000,440692
3872,50200,50100,78200,31000,-2,-2
3873,70300,125040,110200,50050,100000,230200
3874,140000,90000,-5,250000,-5,-5
3875,115000,141000,110200,122850,160000,-2
3876,-2,91500,102600,107550,102000,-2
3877,68300,-2,65000,63000,-2,55000
3878,40600,6400,-2,58000,-2,68000
3879,-2,-2,-2,-5,-5,-5
3880,-5,-5,-5,-5,-5,-5
3881,-5,-5,-5,-5,-5,-2
3882,-5,-5,-5,-5,-5,-5
3883,52100,60000,67000,78000,93800,100100
3884,82550,114000,124000,146000,176000,192000
3885,-5,-5,-5,-5,-5,-5
3886,138000,97000,-2,101100,11500,99200
3887,-5,390662,-5,-5,-5,-5
3888,76315,44918,146000,116300,48880,66500
3889,41800,54900,-2,87000,17000,89082
3890,159000,118000,153000,196000,454737,440692
3891,-5,-5,-5,-5,-5,-5
3892,156200,390662,168400,167000,188755,229100
3893,-2,-5,-5,-5,-5,-5
3894,48800,67600,35212,87000,88132,89000
3895,182000,197000,193000,20000,224500,440692
3896,-2,110000,200000,-5,454737,130000
3897,90000,100000,106000,90000,-5,100000
3898,-1,-1,-1,113500,130000,135000
3899,44000,121520,133742,30200,11400,21800
3900,30000,34000,36000,32000,16788,2796
